"line_ID";"x1";"y1";"x2";"y2";"x_gt";"y_gt";"A_tr";"I_tr";"x_gr";"y_gr";"A_rec";"I_rec";"x_g_partial";"y_g_partial";"Dist_gt";"dist2_A_tr";"Dist_gr";"dist2_A_rec";"Ig_partial"
1;695414,760749043;5709173,17128248;695418,749933627;5709163,96042292;695417,420205432;5709170,10099596;-18,3719094778951;-102,835260343481;695416,755341335;2854586,58564124;22774945,5996247;61861797467849793536;908724091,185547;3730179763,85127;126,852930339551;-295634,629919779;2854456,67120064;1,85568500518713e+20;2,47430297986562e+20
2;695418,749933627;5709163,96042292;695424,176969551;5709162,53249199;695422,367957577;5709163,48444595;-3,87471622895813;-6,77896794566174;695421,463451589;2854581,98021146;30983837,9108202;84158695905270939648;1236269462,66364;5074666622,97626;120,277257389486;-56054,0420424592;2854461,27663074;2,52454736692041e+20;3,36613432597312e+20
3;695424,176969551;5709162,53249199;695428,195808279;5709162,84307195;695426,85619537;5709162,63601865;0,624085374931253;0,56332458334287;695426,186388915;2854581,266246;22944203,489815;62321307125835341824;915490687,813445;3757900822,67137;119,643193466052;8933,46619439844;2854461,99060433;1,86948297526688e+20;2,49269604652523e+20
4;695428,195808279;5709162,84307195;695432,175914259;5709167,95128247;695430,849212266;5709164,54580879;10,1656096191883;23,6830795761379;695430,185861269;2854581,42153597;22723073,1695614;61720677143904804864;906673019,796942;3721686472,93205;121,874951939711;150994,922229267;2854461,83532735;1,85146517870623e+20;2,46867195014528e+20
5;695432,175914259;5709167,95128247;695445,618161122;5709163,93684984;695441,137412168;5709166,61313826;-26,9814971923117;-295,012197763079;695438,89703769;2854583,97564123;76744044,9843395;2,08453445715201e+20;3062198959,97737;12569473817,7196;125,342460122073;-423899,079696681;2854459,28126979;6,25305704164659e+20;8,3375914987986e+20
6;695445,618161122;5709163,93684984;695450,7932486;5709090,52359743;695449,068219441;5709139,46576571;-189,960001629976;-57159,8843149516;695448,205704861;2854581,96842492;29545422,7995084;80251653762184167424;1178913935,46746;4839015757,03408;100,824290362608;-1931045,52522198;2854461,28856645;2,40734605478865e+20;3,20986259241047e+20
7;695450,7932486;5709090,52359743;695452,086657254;5709039,95437967;695451,655521036;5709073,66719151;-32,7033319485191;-4649,17596528154;695451,439952927;2854545,26179872;7384187,09195884;20056507223106670592;294643912,352495;1209388047,2937;44,6867864316712;-65305,574025577;2854497,99522768;60167529069330866176;80224036292437475328
8;695452,086657254;5709039,95437967;695453,013192368;5708984,47171168;695452,70434733;5709021,46015701;-25,7033200640361;-4396,959745434;695452,549924811;2854519,97718984;5289625,98599105;14367125458484758528;211066958,727429;866330740,527418;40,2119245009521;-41562,2395520075;2854523,27984942;43101476111490842624;57468601569975558144
9;695453,013192368;5708984,47171168;695454,675681661;5708971,07368268;695454,121518563;5708980,00570201;-11,1370398711767;-112,775553817083;695453,844437015;2854492,23585584;9491125,5549535;2,5778295395863e+19;378717535,717653;1554445353,08809;72,3905841773846;-58362,5067385782;2854551,02119896;77338071485881647104;1,03116366881745e+20
10;695454,675681661;5708971,07368268;695455,379371746;5708962,18176128;695455,144808384;5708968,10970888;-3,12857846197918;-13,8285681144671;695455,027526703;2854485,53684134;4017346,33931214;1,0911230071263e+19;160301608,656729;657955222,098512;83,4259383079124;-21774,5531371484;2854557,72022818;32735345754493341696;43646575825756340224
11;695455,379371746;5708962,18176128;695457,629075713;5708953,75020847;695456,879174391;5708959,37124368;-9,48424890702699;-40,1248278332846;695456,50422373;2854481,09088064;12843474,8718202;34883144460303581184;512486094,908131;2103482788,79762;92,0775656352641;-80410,0997400066;2854562,16620795;1,04655378144433e+20;1,39538522604737e+20
12;695457,629075713;5708953,75020847;695466,007345215;5708939,57517171;695463,214588714;5708949,02519622;-59,3811390704647;-894,435225864083;695461,818210464;2854476,87510424;47831153,0888296;1,29910021325918e+20;1908593747,23854;7833686637,03115;104,126350898865;-643827,943121108;2854566,38205928;3,89754505652049e+20;5,19664526977966e+20
13;695466,007345215;5708939,57517171;695475,920113717;5708920,20357486;695472,615857549;5708933,11797276;-96,0130775603688;-2525,79332972565;695470,963729466;2854469,78758586;56591396,4007045;1,53702190525314e+20;2258180067,70231;9268389592,44593;122,534256233875;-1441602,17418843;2854573,46972977;4,61140069484663e+20;6,14842260009975e+20
14;695475,920113717;5708920,20357486;695459,20840982;5708917,77865135;695464,778977786;5708919,39526702;20,2623018764746;321,001353767064;695467,564261768;2854460,10178743;-95405784,0096889;-2,59120279893365e+20;-3806986930,40402;-15625300950,559;132,081198419875;353484,83194915;2854583,15546823;-7,77427864029057e+20;-1,03654814392242e+21
15;695459,20840982;5708917,77865135;695437,10210429;5708916,29302665;695444,4708728;5708917,28344311;16,4208367595013;447,828900429035;695448,155257055;2854458,88932567;-126203080,664857;-3,42764855863814e+20;-5035754537,89039;-20669193420,3349;128,54002633842;271313,905444128;2854584,36766518;-1,02838497457492e+21;-1,37114983043873e+21
16;695437,10210429;5708916,29302665;695423,734587049;5708915,09929207;695428,190426129;5708915,89511512;7,97863375648396;79,837542404384;695430,418345669;2854458,14651332;-76314036,9727167;-2,07267177086961e+20;-3045004642,69674;-12498500454,5222;127,69922915388;130108,323689182;2854585,11035093;-6,21856846879787e+20;-8,29124023966749e+20
17;695423,734587049;5708915,09929207;695394,042757034;5708911,70735739;695403,940033705;5708913,96864718;50,3563739819101;2498,54337168534;695408,888672041;2854457,54964604;-169508136,699821;-4,60380025597937e+20;-6763329590,02509;-27761554084,5681;130,152239338355;853017,104869513;2854585,70721263;-1,38126409858671e+21;-1,84164412418465e+21
18;695394,042757034;5708911,70735739;695376,627212323;5709184,75371028;695382,432393893;5709002,72280835;-2377,62548345204;-9887964,77669458;695385,334984678;2854455,8536787;-99423807,0896095;-2,70032349784815e+20;-3966945149,40515;-16284123386,7212;54,5324702019123;-7070559,6147549;2854587,40335985;-8,10171718894895e+20;-1,08020406867973e+21
19;695376,627212323;5709184,75371028;695414,760749043;5709173,17128248;695402,049570137;5709180,89290102;-220,839467871577;-19486,865523302;695395,693980683;2854592,37685514;217711406,450577;5,91354807862837e+20;8686456187,12598;35657779701,4951;138,66519452181;-4246309,27638944;2854450,88008035;1,77388855379513e+21;2,36524336165796e+21
